序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
17,bRdData,BOOL,,OFF,不保持,私有,,,
18,iDataBuf,INT[128],,0,不保持,私有,存放ADC各个通道的换算值,,
,iDataBuf[0],INT,,0,,,,,
,iDataBuf[1],INT,,0,,,,,
,iDataBuf[2],INT,,0,,,,,
,iDataBuf[3],INT,,0,,,,,
,iDataBuf[4],INT,,0,,,,,
,iDataBuf[5],INT,,0,,,,,
,iDataBuf[6],INT,,0,,,,,
,iDataBuf[7],INT,,0,,,,,
,iDataBuf[8],INT,,0,,,,,
,iDataBuf[9],INT,,0,,,,,
,iDataBuf[10],INT,,0,,,,,
,iDataBuf[11],INT,,0,,,,,
,iDataBuf[12],INT,,0,,,,,
,iDataBuf[13],INT,,0,,,,,
,iDataBuf[14],INT,,0,,,,,
,iDataBuf[15],INT,,0,,,,,
,iDataBuf[16],INT,,0,,,,,
,iDataBuf[17],INT,,0,,,,,
,iDataBuf[18],INT,,0,,,,,
,iDataBuf[19],INT,,0,,,,,
,iDataBuf[20],INT,,0,,,,,
,iDataBuf[21],INT,,0,,,,,
,iDataBuf[22],INT,,0,,,,,
,iDataBuf[23],INT,,0,,,,,
,iDataBuf[24],INT,,0,,,,,
,iDataBuf[25],INT,,0,,,,,
,iDataBuf[26],INT,,0,,,,,
,iDataBuf[27],INT,,0,,,,,
,iDataBuf[28],INT,,0,,,,,
,iDataBuf[29],INT,,0,,,,,
,iDataBuf[30],INT,,0,,,,,
,iDataBuf[31],INT,,0,,,,,
,iDataBuf[32],INT,,0,,,,,
,iDataBuf[33],INT,,0,,,,,
,iDataBuf[34],INT,,0,,,,,
,iDataBuf[35],INT,,0,,,,,
,iDataBuf[36],INT,,0,,,,,
,iDataBuf[37],INT,,0,,,,,
,iDataBuf[38],INT,,0,,,,,
,iDataBuf[39],INT,,0,,,,,
,iDataBuf[40],INT,,0,,,,,
,iDataBuf[41],INT,,0,,,,,
,iDataBuf[42],INT,,0,,,,,
,iDataBuf[43],INT,,0,,,,,
,iDataBuf[44],INT,,0,,,,,
,iDataBuf[45],INT,,0,,,,,
,iDataBuf[46],INT,,0,,,,,
,iDataBuf[47],INT,,0,,,,,
,iDataBuf[48],INT,,0,,,,,
,iDataBuf[49],INT,,0,,,,,
,iDataBuf[50],INT,,0,,,,,
,iDataBuf[51],INT,,0,,,,,
,iDataBuf[52],INT,,0,,,,,
,iDataBuf[53],INT,,0,,,,,
,iDataBuf[54],INT,,0,,,,,
,iDataBuf[55],INT,,0,,,,,
,iDataBuf[56],INT,,0,,,,,
,iDataBuf[57],INT,,0,,,,,
,iDataBuf[58],INT,,0,,,,,
,iDataBuf[59],INT,,0,,,,,
,iDataBuf[60],INT,,0,,,,,
,iDataBuf[61],INT,,0,,,,,
,iDataBuf[62],INT,,0,,,,,
,iDataBuf[63],INT,,0,,,,,
,iDataBuf[64],INT,,0,,,,,
,iDataBuf[65],INT,,0,,,,,
,iDataBuf[66],INT,,0,,,,,
,iDataBuf[67],INT,,0,,,,,
,iDataBuf[68],INT,,0,,,,,
,iDataBuf[69],INT,,0,,,,,
,iDataBuf[70],INT,,0,,,,,
,iDataBuf[71],INT,,0,,,,,
,iDataBuf[72],INT,,0,,,,,
,iDataBuf[73],INT,,0,,,,,
,iDataBuf[74],INT,,0,,,,,
,iDataBuf[75],INT,,0,,,,,
,iDataBuf[76],INT,,0,,,,,
,iDataBuf[77],INT,,0,,,,,
,iDataBuf[78],INT,,0,,,,,
,iDataBuf[79],INT,,0,,,,,
,iDataBuf[80],INT,,0,,,,,
,iDataBuf[81],INT,,0,,,,,
,iDataBuf[82],INT,,0,,,,,
,iDataBuf[83],INT,,0,,,,,
,iDataBuf[84],INT,,0,,,,,
,iDataBuf[85],INT,,0,,,,,
,iDataBuf[86],INT,,0,,,,,
,iDataBuf[87],INT,,0,,,,,
,iDataBuf[88],INT,,0,,,,,
,iDataBuf[89],INT,,0,,,,,
,iDataBuf[90],INT,,0,,,,,
,iDataBuf[91],INT,,0,,,,,
,iDataBuf[92],INT,,0,,,,,
,iDataBuf[93],INT,,0,,,,,
,iDataBuf[94],INT,,0,,,,,
,iDataBuf[95],INT,,0,,,,,
,iDataBuf[96],INT,,0,,,,,
,iDataBuf[97],INT,,0,,,,,
,iDataBuf[98],INT,,0,,,,,
