#变量导出文件（汇川）
#2025-06-18 18:04:23
#AutoShop:EasyMonitor{EB94048B-7C2C-4d7a-A080-A272E8B0B981}
#列A:名称
#列B:连接（如果为空，则是内部连接）
#列C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列D:长度
#列E:数组计数
#列F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列G:采集周期
#列H:采集模式（=根据命令1=循环使用（默认值）2=循环连续）
#列I:上限
#列J:下限
#列K:初始值（初始值类型取决于变量数据类型）
#列L:注释
#列M:变量组Id

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id
"iZioDOSel",,"Int16","2","1","UW 2102080","100ms","1",,,,"","1"
"xDOTestFailed",,"Bool","1","1","UB 2101CFE","100ms","1",,,,"","1"
"xDOTestSuccess",,"Bool","1","1","UB 2101CFF","100ms","1",,,,"","1"
"iBarCnt",,"Int16","2","1","UW 2102090","100ms","1",,,,"","1"
"TPR3_En",,"Bool","1","1","UB 21020A0","100ms","1",,,,"","1"
"TPR3_PT",,"Int32","4","1","UW 21020B0","100ms","1",,,,"","1"
"TPR3_Rst",,"Bool","1","1","UB 21020A1","100ms","1",,,,"","1"
"TPR3_Q",,"Bool","1","1","UB 21020A2","100ms","1",,,,"","1"
"TPR3_ET",,"Int32","4","1","UW 21020D0","100ms","1",,,,"","1"
"i",,"Int16","2","1","UW 21020F0","100ms","1",,,,"","1"
"xDO_N[0]",,"Bool","1","1","UB 2100800","100ms","1",,,,"","1"
"xDO_N[1]",,"Bool","1","1","UB 2100801","100ms","1",,,,"","1"
"xDO_N[2]",,"Bool","1","1","UB 2100802","100ms","1",,,,"","1"
"xDO_N[3]",,"Bool","1","1","UB 2100803","100ms","1",,,,"","1"
"xDO_N[4]",,"Bool","1","1","UB 2100804","100ms","1",,,,"","1"
"xDO_N[5]",,"Bool","1","1","UB 2100805","100ms","1",,,,"","1"
"xDO_N[6]",,"Bool","1","1","UB 2100806","100ms","1",,,,"","1"
"xDO_N[7]",,"Bool","1","1","UB 2100807","100ms","1",,,,"","1"
"xDO_N[8]",,"Bool","1","1","UB 2100808","100ms","1",,,,"","1"
"xDO_N[9]",,"Bool","1","1","UB 2100809","100ms","1",,,,"","1"
"xDO_N[10]",,"Bool","1","1","UB 210080A","100ms","1",,,,"","1"
"xDO_N[11]",,"Bool","1","1","UB 210080B","100ms","1",,,,"","1"
"xDO_N[12]",,"Bool","1","1","UB 210080C","100ms","1",,,,"","1"
"xDO_N[13]",,"Bool","1","1","UB 210080D","100ms","1",,,,"","1"
"xDO_N[14]",,"Bool","1","1","UB 210080E","100ms","1",,,,"","1"
"xDO_N[15]",,"Bool","1","1","UB 210080F","100ms","1",,,,"","1"
"xDO_P[0]",,"Bool","1","1","UB 2100810","100ms","1",,,,"","1"
"xDO_P[1]",,"Bool","1","1","UB 2100811","100ms","1",,,,"","1"
"xDO_P[2]",,"Bool","1","1","UB 2100812","100ms","1",,,,"","1"
"xDO_P[3]",,"Bool","1","1","UB 2100813","100ms","1",,,,"","1"
"xDO_P[4]",,"Bool","1","1","UB 2100814","100ms","1",,,,"","1"
"xDO_P[5]",,"Bool","1","1","UB 2100815","100ms","1",,,,"","1"
"xDO_P[6]",,"Bool","1","1","UB 2100816","100ms","1",,,,"","1"
"xDO_P[7]",,"Bool","1","1","UB 2100817","100ms","1",,,,"","1"
"xDO_P[8]",,"Bool","1","1","UB 2100818","100ms","1",,,,"","1"
"xDO_P[9]",,"Bool","1","1","UB 2100819","100ms","1",,,,"","1"
"xDO_P[10]",,"Bool","1","1","UB 210081A","100ms","1",,,,"","1"
"xDO_P[11]",,"Bool","1","1","UB 210081B","100ms","1",,,,"","1"
"xDO_P[12]",,"Bool","1","1","UB 210081C","100ms","1",,,,"","1"
"xDO_P[13]",,"Bool","1","1","UB 210081D","100ms","1",,,,"","1"
"xDO_P[14]",,"Bool","1","1","UB 210081E","100ms","1",,,,"","1"
"xDO_P[15]",,"Bool","1","1","UB 210081F","100ms","1",,,,"","1"
"xDI_N[0]",,"Bool","1","1","UB 2100440","100ms","1",,,,"","1"
"xDI_N[1]",,"Bool","1","1","UB 2100441","100ms","1",,,,"","1"
"xDI_N[2]",,"Bool","1","1","UB 2100442","100ms","1",,,,"","1"
"xDI_N[3]",,"Bool","1","1","UB 2100443","100ms","1",,,,"","1"
"xDI_N[4]",,"Bool","1","1","UB 2100444","100ms","1",,,,"","1"
"xDI_N[5]",,"Bool","1","1","UB 2100445","100ms","1",,,,"","1"
"xDI_N[6]",,"Bool","1","1","UB 2100446","100ms","1",,,,"","1"
"xDI_N[7]",,"Bool","1","1","UB 2100447","100ms","1",,,,"","1"
"xDI_N[8]",,"Bool","1","1","UB 2100448","100ms","1",,,,"","1"
"xDI_N[9]",,"Bool","1","1","UB 2100449","100ms","1",,,,"","1"
"xDI_N[10]",,"Bool","1","1","UB 210044A","100ms","1",,,,"","1"
"xDI_N[11]",,"Bool","1","1","UB 210044B","100ms","1",,,,"","1"
"xDI_N[12]",,"Bool","1","1","UB 210044C","100ms","1",,,,"","1"
"xDI_N[13]",,"Bool","1","1","UB 210044D","100ms","1",,,,"","1"
"xDI_N[14]",,"Bool","1","1","UB 210044E","100ms","1",,,,"","1"
"xDI_N[15]",,"Bool","1","1","UB 210044F","100ms","1",,,,"","1"
"xDI_P[0]",,"Bool","1","1","UB 21004C0","100ms","1",,,,"","1"
"xDI_P[1]",,"Bool","1","1","UB 21004C1","100ms","1",,,,"","1"
"xDI_P[2]",,"Bool","1","1","UB 21004C2","100ms","1",,,,"","1"
"xDI_P[3]",,"Bool","1","1","UB 21004C3","100ms","1",,,,"","1"
"xDI_P[4]",,"Bool","1","1","UB 21004C4","100ms","1",,,,"","1"
"xDI_P[5]",,"Bool","1","1","UB 21004C5","100ms","1",,,,"","1"
"xDI_P[6]",,"Bool","1","1","UB 21004C6","100ms","1",,,,"","1"
"xDI_P[7]",,"Bool","1","1","UB 21004C7","100ms","1",,,,"","1"
"xDI_P[8]",,"Bool","1","1","UB 21004C8","100ms","1",,,,"","1"
"xDI_P[9]",,"Bool","1","1","UB 21004C9","100ms","1",,,,"","1"
"xDI_P[10]",,"Bool","1","1","UB 21004CA","100ms","1",,,,"","1"
"xDI_P[11]",,"Bool","1","1","UB 21004CB","100ms","1",,,,"","1"
"xDI_P[12]",,"Bool","1","1","UB 21004CC","100ms","1",,,,"","1"
"xDI_P[13]",,"Bool","1","1","UB 21004CD","100ms","1",,,,"","1"
"xDI_P[14]",,"Bool","1","1","UB 21004CE","100ms","1",,,,"","1"
"xDI_P[15]",,"Bool","1","1","UB 21004CF","100ms","1",,,,"","1"
"iZioDIItem",,"Int16","2","1","UW 2102980","100ms","1",,,,"","1"
"iDITestState",,"Int16","2","1","UW 2102990","100ms","1",,,,"","1"
"xDITestSuccess",,"Bool","1","1","UB 2101AA8","100ms","1",,,,"","1"
"xDITestFailed",,"Bool","1","1","UB 2101AA9","100ms","1",,,,"","1"
"iZioDISel",,"Int16","2","1","UW 21029A0","100ms","1",,,,"","1"
"TPR_En[0]",,"Bool","1","1","UB 2102AF8","100ms","1",,,,"","1"
"TPR_En[1]",,"Bool","1","1","UB 2102AF9","100ms","1",,,,"","1"
"TPR_En[2]",,"Bool","1","1","UB 2102AFA","100ms","1",,,,"","1"
"TPR_En[3]",,"Bool","1","1","UB 2102AFB","100ms","1",,,,"","1"
"TPR_En[4]",,"Bool","1","1","UB 2102AFC","100ms","1",,,,"","1"
"TPR_En[5]",,"Bool","1","1","UB 2102AFD","100ms","1",,,,"","1"
"TPR_En[6]",,"Bool","1","1","UB 2102AFE","100ms","1",,,,"","1"
"TPR_En[7]",,"Bool","1","1","UB 2102AFF","100ms","1",,,,"","1"
"TPR_Pt[0]",,"Int32","4","1","UW 2102C00","100ms","1",,,,"","1"
"TPR_Pt[1]",,"Int32","4","1","UW 2102C20","100ms","1",,,,"","1"
"TPR_Pt[2]",,"Int32","4","1","UW 2102C40","100ms","1",,,,"","1"
"TPR_Pt[3]",,"Int32","4","1","UW 2102C60","100ms","1",,,,"","1"
"TPR_Pt[4]",,"Int32","4","1","UW 2102C80","100ms","1",,,,"","1"
"TPR_Pt[5]",,"Int32","4","1","UW 2102CA0","100ms","1",,,,"","1"
"TPR_Pt[6]",,"Int32","4","1","UW 2102CC0","100ms","1",,,,"","1"
"TPR_Pt[7]",,"Int32","4","1","UW 2102CE0","100ms","1",,,,"","1"
"TPR_Rst[0]",,"Bool","1","1","UB 2102D00","100ms","1",,,,"","1"
"TPR_Rst[1]",,"Bool","1","1","UB 2102D01","100ms","1",,,,"","1"
"TPR_Rst[2]",,"Bool","1","1","UB 2102D02","100ms","1",,,,"","1"
"TPR_Rst[3]",,"Bool","1","1","UB 2102D03","100ms","1",,,,"","1"
"TPR_Rst[4]",,"Bool","1","1","UB 2102D04","100ms","1",,,,"","1"
"TPR_Rst[5]",,"Bool","1","1","UB 2102D05","100ms","1",,,,"","1"
"TPR_Rst[6]",,"Bool","1","1","UB 2102D06","100ms","1",,,,"","1"
"TPR_Rst[7]",,"Bool","1","1","UB 2102D07","100ms","1",,,,"","1"
"TPR_Q[0]",,"Bool","1","1","UB 2102D08","100ms","1",,,,"","1"
"TPR_Q[1]",,"Bool","1","1","UB 2102D09","100ms","1",,,,"","1"
"TPR_Q[2]",,"Bool","1","1","UB 2102D0A","100ms","1",,,,"","1"
"TPR_Q[3]",,"Bool","1","1","UB 2102D0B","100ms","1",,,,"","1"
"TPR_Q[4]",,"Bool","1","1","UB 2102D0C","100ms","1",,,,"","1"
"TPR_Q[5]",,"Bool","1","1","UB 2102D0D","100ms","1",,,,"","1"
"TPR_Q[6]",,"Bool","1","1","UB 2102D0E","100ms","1",,,,"","1"
"TPR_Q[7]",,"Bool","1","1","UB 2102D0F","100ms","1",,,,"","1"
"TPR_Et[0]",,"Int32","4","1","UW 2102D10","100ms","1",,,,"","1"
"TPR_Et[1]",,"Int32","4","1","UW 2102D30","100ms","1",,,,"","1"
"TPR_Et[2]",,"Int32","4","1","UW 2102D50","100ms","1",,,,"","1"
"TPR_Et[3]",,"Int32","4","1","UW 2102D70","100ms","1",,,,"","1"
"TPR_Et[4]",,"Int32","4","1","UW 2102D90","100ms","1",,,,"","1"
"TPR_Et[5]",,"Int32","4","1","UW 2102DB0","100ms","1",,,,"","1"
"TPR_Et[6]",,"Int32","4","1","UW 2102DD0","100ms","1",,,,"","1"
"TPR_Et[7]",,"Int32","4","1","UW 2102DF0","100ms","1",,,,"","1"
"TimerCnt1",,"Int16","2","1","UW 2102E10","100ms","1",,,,"","1"
"TimerCnt2",,"Int16","2","1","UW 2102E20","100ms","1",,,,"","1"
"TimerCnt3",,"Int16","2","1","UW 2102E30","100ms","1",,,,"","1"
"TimerCnt1Max",,"Int16","2","1","UW 2103DE0","100ms","1",,,,"","1"
"TimerCnt2Max",,"Int16","2","1","UW 2102E40","100ms","1",,,,"","1"
"TimerCnt3Max",,"Int16","2","1","UW 2102E50","100ms","1",,,,"","1"
"iChnMax",,"Int16","2","1","UW 2102E60","100ms","1",,,,"","1"
"bDOEasy[0]",,"Bool","1","1","UB 2100368","100ms","1",,,,"","1"
"bDOEasy[1]",,"Bool","1","1","UB 2100369","100ms","1",,,,"","1"
"bDOEasy[2]",,"Bool","1","1","UB 210036A","100ms","1",,,,"","1"
"bDOEasy[3]",,"Bool","1","1","UB 210036B","100ms","1",,,,"","1"
"bDOEasy[4]",,"Bool","1","1","UB 210036C","100ms","1",,,,"","1"
"bDOEasy[5]",,"Bool","1","1","UB 210036D","100ms","1",,,,"","1"
"bDOEasy[6]",,"Bool","1","1","UB 210036E","100ms","1",,,,"","1"
"bDOEasy[7]",,"Bool","1","1","UB 210036F","100ms","1",,,,"","1"
"bDI_ChnCheck[0]",,"Bool","1","1","UB 2102E70","100ms","1",,,,"","1"
"bDI_ChnCheck[1]",,"Bool","1","1","UB 2102E71","100ms","1",,,,"","1"
"bDI_ChnCheck[2]",,"Bool","1","1","UB 2102E72","100ms","1",,,,"","1"
"bDI_ChnCheck[3]",,"Bool","1","1","UB 2102E73","100ms","1",,,,"","1"
"bDI_ChnCheck[4]",,"Bool","1","1","UB 2102E74","100ms","1",,,,"","1"
"bDI_ChnCheck[5]",,"Bool","1","1","UB 2102E75","100ms","1",,,,"","1"
"bDI_ChnCheck[6]",,"Bool","1","1","UB 2102E76","100ms","1",,,,"","1"
"bDI_ChnCheck[7]",,"Bool","1","1","UB 2102E77","100ms","1",,,,"","1"
"iAOTestState",,"Int16","2","1","UW 2102E80","100ms","1",,,,"","1"
"xAOTestSuccess",,"Bool","1","1","UB 2101AAD","100ms","1",,,,"","1"
"diAICalTimeout",,"Int32","4","1","UW 21010A0","100ms","1",,,,"","1"
"xAOTestFailed",,"Bool","1","1","UB 2101AAE","100ms","1",,,,"","1"
"iTestPnt",,"Int16","2","1","UW 2102E90","100ms","1",,,,"","1"
"iTestPntMax",,"Int16","2","1","UW 2102EA0","100ms","1",,,,"","1"
"fAOVal[0]",,"Float","4","1","UW 2102F20","100ms","1",,,,"","1"
"fAOVal[1]",,"Float","4","1","UW 2102F40","100ms","1",,,,"","1"
"fAOVal[2]",,"Float","4","1","UW 2102F60","100ms","1",,,,"","1"
"fAOVal[3]",,"Float","4","1","UW 2102F80","100ms","1",,,,"","1"
"fAOVal[4]",,"Float","4","1","UW 2102FA0","100ms","1",,,,"","1"
"fAOVal[5]",,"Float","4","1","UW 2102FC0","100ms","1",,,,"","1"
"fAOVal[6]",,"Float","4","1","UW 2102FE0","100ms","1",,,,"","1"
"fAOVal[7]",,"Float","4","1","UW 2103000","100ms","1",,,,"","1"
"iAOTestRet",,"Int16","2","1","UW 2102EB0","100ms","1",,,,"","1"
"iAITestState",,"Int16","2","1","UW 2102EC0","100ms","1",,,,"","1"
"xAITestSuccess",,"Bool","1","1","UB 2101AAF","100ms","1",,,,"","1"
"xAITestFailed",,"Bool","1","1","UB 21020A3","100ms","1",,,,"","1"
"iZioDDItem",,"Int16","2","1","UW 2102ED0","100ms","1",,,,"","1"
"iZioCPItem",,"Int16","2","1","UW 2102EE0","100ms","1",,,,"","1"
"iDDTestState",,"Int16","2","1","UW 2103DC0","100ms","1",,,,"","1"
"xDDTestSuccess",,"Bool","1","1","UB 21020A4","100ms","1",,,,"","1"
"xDDTestFailed",,"Bool","1","1","UB 21020A5","100ms","1",,,,"","1"
"iZioDDSel",,"Int16","2","1","UW 2103DD0","100ms","1",,,,"","1"
"bDIEasy[0]",,"Bool","1","1","UB 21020A8","100ms","1",,,,"","1"
"bDIEasy[1]",,"Bool","1","1","UB 21020A9","100ms","1",,,,"","1"
"bDIEasy[2]",,"Bool","1","1","UB 21020AA","100ms","1",,,,"","1"
"bDIEasy[3]",,"Bool","1","1","UB 21020AB","100ms","1",,,,"","1"
"bDIEasy[4]",,"Bool","1","1","UB 21020AC","100ms","1",,,,"","1"
"bDIEasy[5]",,"Bool","1","1","UB 21020AD","100ms","1",,,,"","1"
"bDIEasy[6]",,"Bool","1","1","UB 21020AE","100ms","1",,,,"","1"
"bDIEasy[7]",,"Bool","1","1","UB 21020AF","100ms","1",,,,"","1"
"bDDO_N0[0]",,"Bool","1","1","UB 2102E78","100ms","1",,,,"","1"
"bDDO_N0[1]",,"Bool","1","1","UB 2102E79","100ms","1",,,,"","1"
"bDDO_N0[2]",,"Bool","1","1","UB 2102E7A","100ms","1",,,,"","1"
"bDDO_N0[3]",,"Bool","1","1","UB 2102E7B","100ms","1",,,,"","1"
"bDDO_N0[4]",,"Bool","1","1","UB 2102E7C","100ms","1",,,,"","1"
"bDDO_N0[5]",,"Bool","1","1","UB 2102E7D","100ms","1",,,,"","1"
"bDDO_N0[6]",,"Bool","1","1","UB 2102E7E","100ms","1",,,,"","1"
"bDDO_N0[7]",,"Bool","1","1","UB 2102E7F","100ms","1",,,,"","1"
"bDDI_N0[0]",,"Bool","1","1","UB 2102EF0","100ms","1",,,,"","1"
"bDDI_N0[1]",,"Bool","1","1","UB 2102EF1","100ms","1",,,,"","1"
"bDDI_N0[2]",,"Bool","1","1","UB 2102EF2","100ms","1",,,,"","1"
"bDDI_N0[3]",,"Bool","1","1","UB 2102EF3","100ms","1",,,,"","1"
"bDDI_N0[4]",,"Bool","1","1","UB 2102EF4","100ms","1",,,,"","1"
"bDDI_N0[5]",,"Bool","1","1","UB 2102EF5","100ms","1",,,,"","1"
"bDDI_N0[6]",,"Bool","1","1","UB 2102EF6","100ms","1",,,,"","1"
"bDDI_N0[7]",,"Bool","1","1","UB 2102EF7","100ms","1",,,,"","1"
"iDDITestState",,"Int16","2","1","UW 2103DF0","100ms","1",,,,"","1"
"bDDI_OK[0]",,"Bool","1","1","UB 2102F08","100ms","1",,,,"","1"
"bDDI_OK[1]",,"Bool","1","1","UB 2102F09","100ms","1",,,,"","1"
"bDDI_OK[2]",,"Bool","1","1","UB 2102F0A","100ms","1",,,,"","1"
"bDDI_OK[3]",,"Bool","1","1","UB 2102F0B","100ms","1",,,,"","1"
"bDDI_OK[4]",,"Bool","1","1","UB 2102F0C","100ms","1",,,,"","1"
"bDDI_OK[5]",,"Bool","1","1","UB 2102F0D","100ms","1",,,,"","1"
"bDDI_OK[6]",,"Bool","1","1","UB 2102F0E","100ms","1",,,,"","1"
"bDDI_OK[7]",,"Bool","1","1","UB 2102F0F","100ms","1",,,,"","1"
"bDDO_P0[0]",,"Bool","1","1","UB 2101AB0","100ms","1",,,,"","1"
"bDDO_P0[1]",,"Bool","1","1","UB 2101AB1","100ms","1",,,,"","1"
"bDDO_P0[2]",,"Bool","1","1","UB 2101AB2","100ms","1",,,,"","1"
"bDDO_P0[3]",,"Bool","1","1","UB 2101AB3","100ms","1",,,,"","1"
"bDDO_P0[4]",,"Bool","1","1","UB 2101AB4","100ms","1",,,,"","1"
"bDDO_P0[5]",,"Bool","1","1","UB 2101AB5","100ms","1",,,,"","1"
"bDDO_P0[6]",,"Bool","1","1","UB 2101AB6","100ms","1",,,,"","1"
"bDDO_P0[7]",,"Bool","1","1","UB 2101AB7","100ms","1",,,,"","1"
"bDDI_P0[0]",,"Bool","1","1","UB 2102978","100ms","1",,,,"","1"
"bDDI_P0[1]",,"Bool","1","1","UB 2102979","100ms","1",,,,"","1"
"bDDI_P0[2]",,"Bool","1","1","UB 210297A","100ms","1",,,,"","1"
"bDDI_P0[3]",,"Bool","1","1","UB 210297B","100ms","1",,,,"","1"
"bDDI_P0[4]",,"Bool","1","1","UB 210297C","100ms","1",,,,"","1"
"bDDI_P0[5]",,"Bool","1","1","UB 210297D","100ms","1",,,,"","1"
"bDDI_P0[6]",,"Bool","1","1","UB 210297E","100ms","1",,,,"","1"
"bDDI_P0[7]",,"Bool","1","1","UB 210297F","100ms","1",,,,"","1"
"TPR4_En",,"Bool","1","1","UB 2101AAA","100ms","1",,,,"","1"
"TPR4_PT",,"Int32","4","1","UW 21029B0","100ms","1",,,,"","1"
"TPR4_Rst",,"Bool","1","1","UB 2101AAB","100ms","1",,,,"","1"
"TPR4_Q",,"Bool","1","1","UB 2101AAC","100ms","1",,,,"","1"
"TPR4_ET",,"Int32","4","1","UW 21029D0","100ms","1",,,,"","1"
"bDDLEDSuccess",,"Bool","1","1","UB 21020A6","100ms","1",,,,"","1"
"ESI_ID",,"Int16","2","1","UW 2100010","100ms","1",,,,"","1"
"ESI_WR_EN",,"Bool","1","1","UB 2100020","100ms","1",,,,"","1"
"ESI_WR_RET",,"Int16","2","1","UW 2100030","100ms","1",,,,"","1"
"TPR5_En",,"Bool","1","1","UB 2100021","100ms","1",,,,"","1"
"TPR5_PT",,"Int32","4","1","UW 2100040","100ms","1",,,,"","1"
"TPR5_Rst",,"Bool","1","1","UB 2100022","100ms","1",,,,"","1"
"TPR5_Q",,"Bool","1","1","UB 2100023","100ms","1",,,,"","1"
"TPR5_ET",,"Int32","4","1","UW 2100060","100ms","1",,,,"","1"
"iEsiBarCnt",,"Int16","2","1","UW 2100080","100ms","1",,,,"","1"
"PID_DO",,"Int32","4","1","UW 2101900","100ms","1",,,,"","1"
"PID_DI",,"Int32","4","1","UW 2100530","100ms","1",,,,"","1"
"PID_AO",,"Int32","4","1","UW 2101940","100ms","1",,,,"","1"
"PID_AI",,"Int32","4","1","UW 2101CB0","100ms","1",,,,"","1"
"PID_DD",,"Int32","4","1","UW 2101920","100ms","1",,,,"","1"
"UID_DO_h",,"Int32","4","1","UW 21001C0","100ms","1",,,,"","1"
"UID_DO_l",,"Int32","4","1","UW 21001E0","100ms","1",,,,"","1"
"UID_DI_h",,"Int32","4","1","UW 2101CD0","100ms","1",,,,"","1"
"UID_DI_l",,"Int32","4","1","UW 2101FE0","100ms","1",,,,"","1"
"UID_AO_h",,"Int32","4","1","UW 2102000","100ms","1",,,,"","1"
"UID_AO_l",,"Int32","4","1","UW 2102020","100ms","1",,,,"","1"
"UID_AI_h",,"Int32","4","1","UW 2102130","100ms","1",,,,"","1"
"UID_AI_l",,"Int32","4","1","UW 2102950","100ms","1",,,,"","1"
"UID_DD_h",,"Int32","4","1","UW 2102100","100ms","1",,,,"","1"
"UID_DD_l",,"Int32","4","1","UW 2102BE0","100ms","1",,,,"","1"
"Result_DOs",,"Int16","2","1","UW 2100500","100ms","1",,,,"","1"
"Result_DIs",,"Int16","2","1","UW 21007F0","100ms","1",,,,"","1"
"Result_AOs",,"Int16","2","1","UW 2101A70","100ms","1",,,,"","1"
"Result_AIs",,"Int16","2","1","UW 2102120","100ms","1",,,,"","1"
"Result_DDs",,"Int16","2","1","UW 2102F10","100ms","1",,,,"","1"
"Result_Eeprom_DO",,"Int16","2","1","UW 2100510","100ms","1",,,,"","1"
"Result_Eeprom_DI",,"Int16","2","1","UW 2100560","100ms","1",,,,"","1"
"Result_Eeprom_AO",,"Int16","2","1","UW 2102040","100ms","1",,,,"","1"
"Result_Eeprom_AI",,"Int16","2","1","UW 2102AB0","100ms","1",,,,"","1"
"Result_Eeprom_DD",,"Int16","2","1","UW 2103D90","100ms","1",,,,"","1"
"Result_Ecat_DO",,"Int16","2","1","UW 2102AC0","100ms","1",,,,"","1"
"Result_Ecat_DI",,"Int16","2","1","UW 2102AD0","100ms","1",,,,"","1"
"Result_Ecat_AO",,"Int16","2","1","UW 2102AE0","100ms","1",,,,"","1"
"Result_Ecat_AI",,"Int16","2","1","UW 2102BC0","100ms","1",,,,"","1"
"Result_Ecat_DD",,"Int16","2","1","UW 2103DA0","100ms","1",,,,"","1"
"Result_LEDs_DO",,"Int16","2","1","UW 2100110","100ms","1",,,,"","1"
"Result_LEDs_DI",,"Int16","2","1","UW 2100330","100ms","1",,,,"","1"
"Result_LEDs_AO",,"Int16","2","1","UW 2100590","100ms","1",,,,"","1"
"Result_LEDs_AI",,"Int16","2","1","UW 2100790","100ms","1",,,,"","1"
"Result_LEDs_DD",,"Int16","2","1","UW 2103DB0","100ms","1",,,,"","1"
"Result_DIs_2ms",,"Int16","2","1","UW 2100120","100ms","1",,,,"","1"
"Result_DIs_4ms",,"Int16","2","1","UW 21004F0","100ms","1",,,,"","1"
"Result_DOs_ShortCut",,"Int16","2","1","UW 2100830","100ms","1",,,,"","1"
"Result_DOs_Carry",,"Int16","2","1","UW 2100130","100ms","1",,,,"","1"
"Result_AOs_Cal",,"Int16","2","1","UW 2101AE0","100ms","1",,,,"","1"
"Result_AIs_Cal",,"Int16","2","1","UW 2101E80","100ms","1",,,,"","1"
"Result_AOs_Test",,"Int16","2","1","UW 2100470","100ms","1",,,,"","1"
"Result_AIs_Test",,"Int16","2","1","UW 2100550","100ms","1",,,,"","1"
"Result_ADC_AO",,"Int16","2","1","UW 21006B0","100ms","1",,,,"","1"
"Result_ADC_AI",,"Int16","2","1","UW 2102BD0","100ms","1",,,,"","1"
"Result_DO_Vol",,"Int16","2","1","UW 2103660","100ms","1",,,,"","1"
"Result_DI_Vol",,"Int16","2","1","UW 2103670","100ms","1",,,,"","1"
"Result_AO_Vol",,"Int16","2","1","UW 2103A80","100ms","1",,,,"","1"
"Result_AI_Vol",,"Int16","2","1","UW 2103A90","100ms","1",,,,"","1"
"xDDTestRecord",,"Bool","1","1","UB 2100025","100ms","1",,,,"","1"
"iYear",,"Int16","2","1","UW 2100140","100ms","1",,,,"","1"
"iMonth",,"Int16","2","1","UW 2100150","100ms","1",,,,"","1"
"iDay",,"Int16","2","1","UW 2100160","100ms","1",,,,"","1"
"iWeek",,"Int16","2","1","UW 2100170","100ms","1",,,,"","1"
"iHour",,"Int16","2","1","UW 2100180","100ms","1",,,,"","1"
"iMinute",,"Int16","2","1","UW 2100190","100ms","1",,,,"","1"
"iSecond",,"Int16","2","1","UW 21001A0","100ms","1",,,,"","1"
"iMs",,"Int16","2","1","UW 21001B0","100ms","1",,,,"","1"
"ESI_RD_EN",,"Bool","1","1","UB 2100027","100ms","1",,,,"","1"
"ESI_RD_RET",,"Int16","2","1","UW 2100200","100ms","1",,,,"","1"
"TPR6_En",,"Bool","1","1","UB 2100028","100ms","1",,,,"","1"
"TPR6_PT",,"Int32","4","1","UW 2100210","100ms","1",,,,"","1"
"TPR6_Rst",,"Bool","1","1","UB 2100029","100ms","1",,,,"","1"
"TPR6_Q",,"Bool","1","1","UB 210002A","100ms","1",,,,"","1"
"TPR6_ET",,"Int32","4","1","UW 2100230","100ms","1",,,,"","1"
"i_ddi",,"Int16","2","1","UW 2100250","100ms","1",,,,"","1"
"i_ddi_cp",,"Int16","2","1","UW 2100260","100ms","1",,,,"","1"
"SerialNo",,"Int32","4","1","UW 2100270","100ms","1",,,,"","1"
"xSN_Input_Rq",,"Bool","1","1","UB 2100026","100ms","1",,,,"","1"
"xRelay1",,"Bool","1","1","UB 008000C","100ms","1",,,,"水泥板继电器1","1"
"j",,"Int16","2","1","UW 21002A0","100ms","1",,,,"","1"
"TPR7_En",,"Bool","1","1","UB 2100296","100ms","1",,,,"","1"
"TPR7_PT",,"Int32","4","1","UW 21002B0","100ms","1",,,,"","1"
"TPR7_Rst",,"Bool","1","1","UB 2100297","100ms","1",,,,"","1"
"TPR7_Q",,"Bool","1","1","UB 2100298","100ms","1",,,,"","1"
"TPR7_ET",,"Int32","4","1","UW 21002D0","100ms","1",,,,"","1"
"TPR8_En",,"Bool","1","1","UB 2100299","100ms","1",,,,"","1"
"TPR8_PT",,"Int32","4","1","UW 21002F0","100ms","1",,,,"","1"
"TPR8_Rst",,"Bool","1","1","UB 210029A","100ms","1",,,,"","1"
"TPR8_Q",,"Bool","1","1","UB 210029B","100ms","1",,,,"","1"
"TPR8_ET",,"Int32","4","1","UW 2100310","100ms","1",,,,"","1"
"xPower_3p3V",,"Bool","1","1","UB 0080000","100ms","1",,,,"测试架3.3V供电","1"
"xPower_24V",,"Bool","1","1","UB 0080001","100ms","1",,,,"测试架24V供电","1"
"xPower_48V",,"Bool","1","1","UB 0080002","100ms","1",,,,"测试架48供电","1"
"xECAT_Ctrl",,"Bool","1","1","UB 0080003","100ms","1",,,,"EtherCAT口切换开关","1"
"xBeep",,"Bool","1","1","UB 0080004","100ms","1",,,,"蜂鸣器开关","1"
"xSW_PN1",,"Bool","1","1","UB 0080005","100ms","1",,,,"P/N切换","1"
"xPower_MD1",,"Bool","1","1","UB 0080008","100ms","1",,,,"被测板供电1","1"
"xPower_MD2",,"Bool","1","1","UB 0080009","100ms","1",,,,"被测板供电2","1"
"xPower_MD3",,"Bool","1","1","UB 008000A","100ms","1",,,,"被测板供电3","1"
"xPower_MD4",,"Bool","1","1","UB 008000B","100ms","1",,,,"被测板供电4,P/N切换","1"
