#变量导出文件（汇川）
#2025-06-18 18:04:23
#AutoShop:EasyMonitor{EB94048B-7C2C-4d7a-A080-A272E8B0B981}
#列A:名称
#列B:连接（如果为空，则是内部连接）
#列C:数据类型（取决于连接，有以下几种类型：Int16 、UInt16、Int32、UInt32、Float、Double、Bool、String、WString、DateTime，类型区分大小写。）
#列D:长度
#列E:数组计数
#列F:地址（取决于连接，寄存器名和数字之间的空格不能缺少。）
#列G:采集周期
#列H:采集模式（=根据命令1=循环使用（默认值）2=循环连续）
#列I:上限
#列J:下限
#列K:初始值（初始值类型取决于变量数据类型）
#列L:注释
#列M:变量组Id

名称,连接,数据类型,长度,数组计数,地址,采集周期,采集模式,上限,下限,初始值,注释,变量组Id
"iWrBuf[53]",,"Int16","2","1","UW 2106D40","100ms","1",,,,"","1"
"iWrBuf[54]",,"Int16","2","1","UW 2106D50","100ms","1",,,,"","1"
"iWrBuf[55]",,"Int16","2","1","UW 2106D60","100ms","1",,,,"","1"
"iWrBuf[56]",,"Int16","2","1","UW 2106D70","100ms","1",,,,"","1"
"iWrBuf[57]",,"Int16","2","1","UW 2106D80","100ms","1",,,,"","1"
"iWrBuf[58]",,"Int16","2","1","UW 2106D90","100ms","1",,,,"","1"
"iWrBuf[59]",,"Int16","2","1","UW 2106DA0","100ms","1",,,,"","1"
"iWrBuf[60]",,"Int16","2","1","UW 2106DB0","100ms","1",,,,"","1"
"iWrBuf[61]",,"Int16","2","1","UW 2106DC0","100ms","1",,,,"","1"
"iWrBuf[62]",,"Int16","2","1","UW 2106DD0","100ms","1",,,,"","1"
"iWrBuf[63]",,"Int16","2","1","UW 2106DE0","100ms","1",,,,"","1"
"iWrBuf[64]",,"Int16","2","1","UW 2106DF0","100ms","1",,,,"","1"
"iWrBuf[65]",,"Int16","2","1","UW 2106E00","100ms","1",,,,"","1"
"iWrBuf[66]",,"Int16","2","1","UW 2106E10","100ms","1",,,,"","1"
"iWrBuf[67]",,"Int16","2","1","UW 2106E20","100ms","1",,,,"","1"
"iWrBuf[68]",,"Int16","2","1","UW 2106E30","100ms","1",,,,"","1"
"iWrBuf[69]",,"Int16","2","1","UW 2106E40","100ms","1",,,,"","1"
"iWrBuf[70]",,"Int16","2","1","UW 2106E50","100ms","1",,,,"","1"
"iWrBuf[71]",,"Int16","2","1","UW 2106E60","100ms","1",,,,"","1"
"iWrBuf[72]",,"Int16","2","1","UW 2106E70","100ms","1",,,,"","1"
"iWrBuf[73]",,"Int16","2","1","UW 2106E80","100ms","1",,,,"","1"
"iWrBuf[74]",,"Int16","2","1","UW 2106E90","100ms","1",,,,"","1"
"iWrBuf[75]",,"Int16","2","1","UW 2106EA0","100ms","1",,,,"","1"
"iWrBuf[76]",,"Int16","2","1","UW 2106EB0","100ms","1",,,,"","1"
"iWrBuf[77]",,"Int16","2","1","UW 2106EC0","100ms","1",,,,"","1"
"iWrBuf[78]",,"Int16","2","1","UW 2106ED0","100ms","1",,,,"","1"
"iWrBuf[79]",,"Int16","2","1","UW 2106EE0","100ms","1",,,,"","1"
"iWrBuf[80]",,"Int16","2","1","UW 2106EF0","100ms","1",,,,"","1"
"iWrBuf[81]",,"Int16","2","1","UW 2106F00","100ms","1",,,,"","1"
"iWrBuf[82]",,"Int16","2","1","UW 2106F10","100ms","1",,,,"","1"
"iWrBuf[83]",,"Int16","2","1","UW 2106F20","100ms","1",,,,"","1"
"iWrBuf[84]",,"Int16","2","1","UW 2106F30","100ms","1",,,,"","1"
"iWrBuf[85]",,"Int16","2","1","UW 2106F40","100ms","1",,,,"","1"
"iWrBuf[86]",,"Int16","2","1","UW 2106F50","100ms","1",,,,"","1"
"iWrBuf[87]",,"Int16","2","1","UW 2106F60","100ms","1",,,,"","1"
"iWrBuf[88]",,"Int16","2","1","UW 2106F70","100ms","1",,,,"","1"
"iWrBuf[89]",,"Int16","2","1","UW 2106F80","100ms","1",,,,"","1"
"iWrBuf[90]",,"Int16","2","1","UW 2106F90","100ms","1",,,,"","1"
"iWrBuf[91]",,"Int16","2","1","UW 2106FA0","100ms","1",,,,"","1"
"iWrBuf[92]",,"Int16","2","1","UW 2106FB0","100ms","1",,,,"","1"
"iWrBuf[93]",,"Int16","2","1","UW 2106FC0","100ms","1",,,,"","1"
"iWrBuf[94]",,"Int16","2","1","UW 2106FD0","100ms","1",,,,"","1"
"iWrBuf[95]",,"Int16","2","1","UW 2106FE0","100ms","1",,,,"","1"
"iWrBuf[96]",,"Int16","2","1","UW 2106FF0","100ms","1",,,,"","1"
"iWrBuf[97]",,"Int16","2","1","UW 2107000","100ms","1",,,,"","1"
"iWrBuf[98]",,"Int16","2","1","UW 2107010","100ms","1",,,,"","1"
"iWrBuf[99]",,"Int16","2","1","UW 2107020","100ms","1",,,,"","1"
"iWrBuf[100]",,"Int16","2","1","UW 2107030","100ms","1",,,,"","1"
"iWrBuf[101]",,"Int16","2","1","UW 2107040","100ms","1",,,,"","1"
"iWrBuf[102]",,"Int16","2","1","UW 2107050","100ms","1",,,,"","1"
"iWrBuf[103]",,"Int16","2","1","UW 2107060","100ms","1",,,,"","1"
"iWrBuf[104]",,"Int16","2","1","UW 2107070","100ms","1",,,,"","1"
"iWrBuf[105]",,"Int16","2","1","UW 2107080","100ms","1",,,,"","1"
"iWrBuf[106]",,"Int16","2","1","UW 2107090","100ms","1",,,,"","1"
"iWrBuf[107]",,"Int16","2","1","UW 21070A0","100ms","1",,,,"","1"
"iWrBuf[108]",,"Int16","2","1","UW 21070B0","100ms","1",,,,"","1"
"iWrBuf[109]",,"Int16","2","1","UW 21070C0","100ms","1",,,,"","1"
"iWrBuf[110]",,"Int16","2","1","UW 21070D0","100ms","1",,,,"","1"
"iWrBuf[111]",,"Int16","2","1","UW 21070E0","100ms","1",,,,"","1"
"iWrBuf[112]",,"Int16","2","1","UW 21070F0","100ms","1",,,,"","1"
"iWrBuf[113]",,"Int16","2","1","UW 2107100","100ms","1",,,,"","1"
"iWrBuf[114]",,"Int16","2","1","UW 2107110","100ms","1",,,,"","1"
"iWrBuf[115]",,"Int16","2","1","UW 2107120","100ms","1",,,,"","1"
"iWrBuf[116]",,"Int16","2","1","UW 2107130","100ms","1",,,,"","1"
"iWrBuf[117]",,"Int16","2","1","UW 2107140","100ms","1",,,,"","1"
"iWrBuf[118]",,"Int16","2","1","UW 2107150","100ms","1",,,,"","1"
"iWrBuf[119]",,"Int16","2","1","UW 2107160","100ms","1",,,,"","1"
"iWrBuf[120]",,"Int16","2","1","UW 2107170","100ms","1",,,,"","1"
"iWrBuf[121]",,"Int16","2","1","UW 2107180","100ms","1",,,,"","1"
"iWrBuf[122]",,"Int16","2","1","UW 2107190","100ms","1",,,,"","1"
"iWrBuf[123]",,"Int16","2","1","UW 21071A0","100ms","1",,,,"","1"
"iWrBuf[124]",,"Int16","2","1","UW 21071B0","100ms","1",,,,"","1"
"iWrBuf[125]",,"Int16","2","1","UW 21071C0","100ms","1",,,,"","1"
"iWrBuf[126]",,"Int16","2","1","UW 21071D0","100ms","1",,,,"","1"
"iWrBuf[127]",,"Int16","2","1","UW 21071E0","100ms","1",,,,"","1"
"xWrCfg1Done",,"Bool","1","1","UB 21000C3","100ms","1",,,,"","1"
"xWrCfg2Done",,"Bool","1","1","UB 2100095","100ms","1",,,,"","1"
"xWrCfg1Error",,"Bool","1","1","UB 21000C4","100ms","1",,,,"","1"
"xWrCfg2Error",,"Bool","1","1","UB 2100096","100ms","1",,,,"","1"
"iWrCfg1ErrorId",,"Int16","2","1","UW 21019C0","100ms","1",,,,"","1"
"iWrCfg2ErrorId",,"Int16","2","1","UW 21019D0","100ms","1",,,,"","1"
"xRdData",,"Bool","1","1","UB 21000C5","100ms","1",,,,"","1"
"iDataBuf[0]",,"Int16","2","1","UW 2102150","100ms","1",,,,"","1"
"iDataBuf[1]",,"Int16","2","1","UW 2102160","100ms","1",,,,"","1"
"iDataBuf[2]",,"Int16","2","1","UW 2102170","100ms","1",,,,"","1"
"iDataBuf[3]",,"Int16","2","1","UW 2102180","100ms","1",,,,"","1"
"iDataBuf[4]",,"Int16","2","1","UW 2102190","100ms","1",,,,"","1"
"iDataBuf[5]",,"Int16","2","1","UW 21021A0","100ms","1",,,,"","1"
"iDataBuf[6]",,"Int16","2","1","UW 21021B0","100ms","1",,,,"","1"
"iDataBuf[7]",,"Int16","2","1","UW 21021C0","100ms","1",,,,"","1"
"iDataBuf[8]",,"Int16","2","1","UW 21021D0","100ms","1",,,,"","1"
"iDataBuf[9]",,"Int16","2","1","UW 21021E0","100ms","1",,,,"","1"
"iDataBuf[10]",,"Int16","2","1","UW 21021F0","100ms","1",,,,"","1"
"iDataBuf[11]",,"Int16","2","1","UW 2102200","100ms","1",,,,"","1"
"iDataBuf[12]",,"Int16","2","1","UW 2102210","100ms","1",,,,"","1"
"iDataBuf[13]",,"Int16","2","1","UW 2102220","100ms","1",,,,"","1"
"iDataBuf[14]",,"Int16","2","1","UW 2102230","100ms","1",,,,"","1"
"iDataBuf[15]",,"Int16","2","1","UW 2102240","100ms","1",,,,"","1"
"iDataBuf[16]",,"Int16","2","1","UW 2102250","100ms","1",,,,"","1"
"iDataBuf[17]",,"Int16","2","1","UW 2102260","100ms","1",,,,"","1"
"iDataBuf[18]",,"Int16","2","1","UW 2102270","100ms","1",,,,"","1"
"iDataBuf[19]",,"Int16","2","1","UW 2102280","100ms","1",,,,"","1"
"iDataBuf[20]",,"Int16","2","1","UW 2102290","100ms","1",,,,"","1"
"iDataBuf[21]",,"Int16","2","1","UW 21022A0","100ms","1",,,,"","1"
"iDataBuf[22]",,"Int16","2","1","UW 21022B0","100ms","1",,,,"","1"
"iDataBuf[23]",,"Int16","2","1","UW 21022C0","100ms","1",,,,"","1"
"iDataBuf[24]",,"Int16","2","1","UW 21022D0","100ms","1",,,,"","1"
"iDataBuf[25]",,"Int16","2","1","UW 21022E0","100ms","1",,,,"","1"
"iDataBuf[26]",,"Int16","2","1","UW 21022F0","100ms","1",,,,"","1"
"iDataBuf[27]",,"Int16","2","1","UW 2102300","100ms","1",,,,"","1"
"iDataBuf[28]",,"Int16","2","1","UW 2102310","100ms","1",,,,"","1"
"iDataBuf[29]",,"Int16","2","1","UW 2102320","100ms","1",,,,"","1"
"iDataBuf[30]",,"Int16","2","1","UW 2102330","100ms","1",,,,"","1"
"iDataBuf[31]",,"Int16","2","1","UW 2102340","100ms","1",,,,"","1"
"iDataBuf[32]",,"Int16","2","1","UW 2102350","100ms","1",,,,"","1"
"iDataBuf[33]",,"Int16","2","1","UW 2102360","100ms","1",,,,"","1"
"iDataBuf[34]",,"Int16","2","1","UW 2102370","100ms","1",,,,"","1"
"iDataBuf[35]",,"Int16","2","1","UW 2102380","100ms","1",,,,"","1"
"iDataBuf[36]",,"Int16","2","1","UW 2102390","100ms","1",,,,"","1"
"iDataBuf[37]",,"Int16","2","1","UW 21023A0","100ms","1",,,,"","1"
"iDataBuf[38]",,"Int16","2","1","UW 21023B0","100ms","1",,,,"","1"
"iDataBuf[39]",,"Int16","2","1","UW 21023C0","100ms","1",,,,"","1"
"iDataBuf[40]",,"Int16","2","1","UW 21023D0","100ms","1",,,,"","1"
"iDataBuf[41]",,"Int16","2","1","UW 21023E0","100ms","1",,,,"","1"
"iDataBuf[42]",,"Int16","2","1","UW 21023F0","100ms","1",,,,"","1"
"iDataBuf[43]",,"Int16","2","1","UW 2102400","100ms","1",,,,"","1"
"iDataBuf[44]",,"Int16","2","1","UW 2102410","100ms","1",,,,"","1"
"iDataBuf[45]",,"Int16","2","1","UW 2102420","100ms","1",,,,"","1"
"iDataBuf[46]",,"Int16","2","1","UW 2102430","100ms","1",,,,"","1"
"iDataBuf[47]",,"Int16","2","1","UW 2102440","100ms","1",,,,"","1"
"iDataBuf[48]",,"Int16","2","1","UW 2102450","100ms","1",,,,"","1"
"iDataBuf[49]",,"Int16","2","1","UW 2102460","100ms","1",,,,"","1"
"iDataBuf[50]",,"Int16","2","1","UW 2102470","100ms","1",,,,"","1"
"iDataBuf[51]",,"Int16","2","1","UW 2102480","100ms","1",,,,"","1"
"iDataBuf[52]",,"Int16","2","1","UW 2102490","100ms","1",,,,"","1"
"iDataBuf[53]",,"Int16","2","1","UW 21024A0","100ms","1",,,,"","1"
"iDataBuf[54]",,"Int16","2","1","UW 21024B0","100ms","1",,,,"","1"
"iDataBuf[55]",,"Int16","2","1","UW 21024C0","100ms","1",,,,"","1"
"iDataBuf[56]",,"Int16","2","1","UW 21024D0","100ms","1",,,,"","1"
"iDataBuf[57]",,"Int16","2","1","UW 21024E0","100ms","1",,,,"","1"
"iDataBuf[58]",,"Int16","2","1","UW 21024F0","100ms","1",,,,"","1"
"iDataBuf[59]",,"Int16","2","1","UW 2102500","100ms","1",,,,"","1"
"iDataBuf[60]",,"Int16","2","1","UW 2102510","100ms","1",,,,"","1"
"iDataBuf[61]",,"Int16","2","1","UW 2102520","100ms","1",,,,"","1"
"iDataBuf[62]",,"Int16","2","1","UW 2102530","100ms","1",,,,"","1"
"iDataBuf[63]",,"Int16","2","1","UW 2102540","100ms","1",,,,"","1"
"iDataBuf[64]",,"Int16","2","1","UW 2102550","100ms","1",,,,"","1"
"iDataBuf[65]",,"Int16","2","1","UW 2102560","100ms","1",,,,"","1"
"iDataBuf[66]",,"Int16","2","1","UW 2102570","100ms","1",,,,"","1"
"iDataBuf[67]",,"Int16","2","1","UW 2102580","100ms","1",,,,"","1"
"iDataBuf[68]",,"Int16","2","1","UW 2102590","100ms","1",,,,"","1"
"iDataBuf[69]",,"Int16","2","1","UW 21025A0","100ms","1",,,,"","1"
"iDataBuf[70]",,"Int16","2","1","UW 21025B0","100ms","1",,,,"","1"
"iDataBuf[71]",,"Int16","2","1","UW 21025C0","100ms","1",,,,"","1"
"iDataBuf[72]",,"Int16","2","1","UW 21025D0","100ms","1",,,,"","1"
"iDataBuf[73]",,"Int16","2","1","UW 21025E0","100ms","1",,,,"","1"
"iDataBuf[74]",,"Int16","2","1","UW 21025F0","100ms","1",,,,"","1"
"iDataBuf[75]",,"Int16","2","1","UW 2102600","100ms","1",,,,"","1"
"iDataBuf[76]",,"Int16","2","1","UW 2102610","100ms","1",,,,"","1"
"iDataBuf[77]",,"Int16","2","1","UW 2102620","100ms","1",,,,"","1"
"iDataBuf[78]",,"Int16","2","1","UW 2102630","100ms","1",,,,"","1"
"iDataBuf[79]",,"Int16","2","1","UW 2102640","100ms","1",,,,"","1"
"iDataBuf[80]",,"Int16","2","1","UW 2102650","100ms","1",,,,"","1"
"iDataBuf[81]",,"Int16","2","1","UW 2102660","100ms","1",,,,"","1"
"iDataBuf[82]",,"Int16","2","1","UW 2102670","100ms","1",,,,"","1"
"iDataBuf[83]",,"Int16","2","1","UW 2102680","100ms","1",,,,"","1"
"iDataBuf[84]",,"Int16","2","1","UW 2102690","100ms","1",,,,"","1"
"iDataBuf[85]",,"Int16","2","1","UW 21026A0","100ms","1",,,,"","1"
"iDataBuf[86]",,"Int16","2","1","UW 21026B0","100ms","1",,,,"","1"
"iDataBuf[87]",,"Int16","2","1","UW 21026C0","100ms","1",,,,"","1"
"iDataBuf[88]",,"Int16","2","1","UW 21026D0","100ms","1",,,,"","1"
"iDataBuf[89]",,"Int16","2","1","UW 21026E0","100ms","1",,,,"","1"
"iDataBuf[90]",,"Int16","2","1","UW 21026F0","100ms","1",,,,"","1"
"iDataBuf[91]",,"Int16","2","1","UW 2102700","100ms","1",,,,"","1"
"iDataBuf[92]",,"Int16","2","1","UW 2102710","100ms","1",,,,"","1"
"iDataBuf[93]",,"Int16","2","1","UW 2102720","100ms","1",,,,"","1"
"iDataBuf[94]",,"Int16","2","1","UW 2102730","100ms","1",,,,"","1"
"iDataBuf[95]",,"Int16","2","1","UW 2102740","100ms","1",,,,"","1"
"iDataBuf[96]",,"Int16","2","1","UW 2102750","100ms","1",,,,"","1"
"iDataBuf[97]",,"Int16","2","1","UW 2102760","100ms","1",,,,"","1"
"iDataBuf[98]",,"Int16","2","1","UW 2102770","100ms","1",,,,"","1"
"iDataBuf[99]",,"Int16","2","1","UW 2102780","100ms","1",,,,"","1"
"iDataBuf[100]",,"Int16","2","1","UW 2102790","100ms","1",,,,"","1"
"iDataBuf[101]",,"Int16","2","1","UW 21027A0","100ms","1",,,,"","1"
"iDataBuf[102]",,"Int16","2","1","UW 21027B0","100ms","1",,,,"","1"
"iDataBuf[103]",,"Int16","2","1","UW 21027C0","100ms","1",,,,"","1"
"iDataBuf[104]",,"Int16","2","1","UW 21027D0","100ms","1",,,,"","1"
"iDataBuf[105]",,"Int16","2","1","UW 21027E0","100ms","1",,,,"","1"
"iDataBuf[106]",,"Int16","2","1","UW 21027F0","100ms","1",,,,"","1"
"iDataBuf[107]",,"Int16","2","1","UW 2102800","100ms","1",,,,"","1"
"iDataBuf[108]",,"Int16","2","1","UW 2102810","100ms","1",,,,"","1"
"iDataBuf[109]",,"Int16","2","1","UW 2102820","100ms","1",,,,"","1"
"iDataBuf[110]",,"Int16","2","1","UW 2102830","100ms","1",,,,"","1"
"iDataBuf[111]",,"Int16","2","1","UW 2102840","100ms","1",,,,"","1"
"iDataBuf[112]",,"Int16","2","1","UW 2102850","100ms","1",,,,"","1"
"iDataBuf[113]",,"Int16","2","1","UW 2102860","100ms","1",,,,"","1"
"iDataBuf[114]",,"Int16","2","1","UW 2102870","100ms","1",,,,"","1"
"iDataBuf[115]",,"Int16","2","1","UW 2102880","100ms","1",,,,"","1"
"iDataBuf[116]",,"Int16","2","1","UW 2102890","100ms","1",,,,"","1"
"iDataBuf[117]",,"Int16","2","1","UW 21028A0","100ms","1",,,,"","1"
"iDataBuf[118]",,"Int16","2","1","UW 21028B0","100ms","1",,,,"","1"
"iDataBuf[119]",,"Int16","2","1","UW 21028C0","100ms","1",,,,"","1"
"iDataBuf[120]",,"Int16","2","1","UW 21028D0","100ms","1",,,,"","1"
"iDataBuf[121]",,"Int16","2","1","UW 21028E0","100ms","1",,,,"","1"
"iDataBuf[122]",,"Int16","2","1","UW 21028F0","100ms","1",,,,"","1"
"iDataBuf[123]",,"Int16","2","1","UW 2102900","100ms","1",,,,"","1"
